info,to_margin,ypp_margin,yds_margin,result
San José State @ Air Force: 24-41,2,1.32,135,1
New Mexico @ Liberty: 10-17,-1,1.71,104,1
Fresno State @ New Mexico State: 30-17,2,-1.03,-71,0
UNLV @ Wyoming: 17-53,-3,3.88,158,1
Colorado State @ Utah State: 24-34,1,0.43,148,1
Hawai'i @ Nevada: 54-3,3,-5.1,-309,0
New Mexico @ San José State: 21-32,-5,0.4,65,1
Air Force @ Navy: 25-34,0,1.37,13,1
San Diego State @ Colorado State: 24-10,4,0.35,-3,0
Boise State @ UNLV: 38-13,0,-4.07,-176,0
Colorado State @ New Mexico: 35-21,1,-2.43,-206,0
San José State @ Nevada: 38-41,1,-0.74,121,1
Fresno State @ Air Force: 24-43,-1,-0.53,153,1
Wyoming @ San Diego State: 22-26,-2,-0.18,63,1
Hawai'i @ Boise State: 37-59,-3,0.47,80,1
UNLV @ Fresno State: 27-56,-5,2.69,75,1
New Mexico @ Wyoming: 10-23,-1,-0.79,-27,1
San Diego State @ San José State: 27-17,1,0.49,-76,0
Western Illinois @ Colorado State: 13-38,1,5.17,370,1
Wyoming @ Texas State: 23-14,2,1.47,151,0
Stony Brook @ Utah State: 7-62,0,4.64,454,1
Tulsa @ San José State: 34-16,1,-1.46,-191,0
Arkansas State @ UNLV: 43-17,1,-1.81,-198,0
Nevada @ Utah State: 10-36,0,0.96,92,1
Boise State @ BYU: 25-28,-2,1.04,-3,1
Air Force @ Hawai'i: 56-26,2,-2.34,-36,0
New Mexico State @ New Mexico: 52-55,0,1.64,110,1
Southern Illinois @ UMass: 45-20,1,-2.83,-181,0
Liberty @ Louisiana: 14-35,1,2.96,232,1
Morgan State @ Army: 21-52,-2,1.22,175,1
Coastal Carolina @ UMass: 62-28,0,-4.21,-330,0
Hampton @ Liberty: 27-62,0,4.03,170,1
Tulane @ Army: 42-33,-1,-1.76,-162,0
Liberty @ New Mexico State: 20-13,3,1.25,62,0
BYU @ South Florida: 23-27,1,0.5,-124,1
Maine @ Liberty: 44-59,-1,0.18,-85,1
Army @ Georgia State: 21-28,-1,1.55,36,1
East Tennessee State @ Appalachian State: 7-42,-1,2.16,152,1
Campbell @ Troy: 14-43,1,5.52,384,1
SMU @ Arkansas State: 37-30,2,0.19,-94,0
Maine @ Georgia Southern: 18-26,-1,2.31,99,1
Jackson State @ South Alabama: 14-37,1,2.08,273,1
Furman @ Georgia State: 42-48,-1,-0.58,28,1
Norfolk State @ Coastal Carolina: 7-46,-1,3.0,404,1
Memphis @ South Alabama: 42-6,1,-4.1,-282,0
Texas State @ SMU: 17-47,2,5.03,398,1
Texas Southern @ Louisiana: 6-77,0,7.06,512,1
Southern Illinois @ Arkansas State: 28-41,-2,1.41,-52,1
Georgia State @ Texas State: 34-37,-3,0.39,-86,1
Coastal Carolina @ Appalachian State: 37-56,0,0.76,37,1
Nicholls @ Texas State: 3-24,-1,2.05,143,1
Arkansas State @ Troy: 50-43,-2,-2.43,-48,0
South Alabama @ Louisiana Monroe: 17-30,-1,2.68,51,1
Georgia Southern @ South Alabama: 20-17,1,1.3,-155,0
Memphis @ Louisiana Monroe: 52-33,-1,-2.46,40,0
Arkansas State @ Georgia State: 38-52,-2,-0.22,301,1
Louisiana Monroe @ Texas State: 24-14,0,-0.68,-91,0
Georgia State @ Coastal Carolina: 31-21,1,-0.35,-150,0
South Alabama @ Troy: 13-37,0,1.41,158,1
Louisiana @ Arkansas State: 37-20,0,-1.29,-23,0
Coastal Carolina @ Georgia Southern: 27-30,0,1.24,140,1
Louisiana Monroe @ Appalachian State: 7-52,-1,3.01,359,1
Grambling @ Louisiana Monroe: 9-31,0,1.75,94,1
Appalachian State @ Louisiana: 17-7,0,-0.44,-89,0
Florida A&M @ UCF: 0-62,0,5.81,598,1
Wagner @ Connecticut: 21-24,2,0.63,207,1
East Carolina @ Navy: 10-42,-1,2.23,246,1
South Carolina State @ South Florida: 16-55,-8,1.94,81,1
Missouri State @ Tulane: 6-58,-2,3.73,358,1
Houston @ Tulane: 31-38,0,0.55,-22,1
William & Mary @ East Carolina: 7-19,-1,1.73,220,1
Navy @ Memphis: 23-35,-1,2.28,-72,1
